url,url_lane,url_primary_cluster,url_keyword_count,url_best_rank,url_best_rank_keyword,url_volume_min_sum,url_volume_max_sum,url_rising_count,url_declining_count,url_stable_count,url_protect_count,url_improve_count,url_opportunity_count,keyword,keyword_cluster,keyword_secondary_clusters,keyword_lane,labels,best_rank,bucket,rank_on_this_url,change_on_this_url,direction_on_this_url,desktop_rank,desktop_change,desktop_direction,desktop_url,mobile_rank,mobile_change,mobile_direction,mobile_url,volume_min,volume_max,engine_url_split,engines_on_this_url,evidence_date
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,What are examples of StoryBrand BrandScript?,storybrand,,rest-of-site,pillar strategy,3,protect_1_3,3,0,stable,3,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,3,1,rising,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,story brand websites,storybrand,,rest-of-site,,4,improve_4_10,4,0,stable,4,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,6,-2,declining,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,storybrand websites,storybrand,,rest-of-site,pillar strategy,4,improve_4_10,4,0,stable,4,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,4,0,stable,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,51,100,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,storybrand examples,175,430,2,1,5,5,3,0,storybrand website,storybrand,,rest-of-site,pillar strategy,7,improve_4_10,7,2,rising,7,2,rising,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,8,1,rising,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,51,100,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,Best MSP Marketing Company,203,430,5,0,1,1,4,1,Best MSP Marketing Company,msp-it,,rest-of-site,,3,protect_1_3,3,4,rising,3,4,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,9,1,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,Best MSP Marketing Company,203,430,5,0,1,1,4,1,MSP Marketing Agency,msp-it,,rest-of-site,msp pillar strategy,5,improve_4_10,5,2,rising,5,2,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,6,-2,declining,https://bigorange.marketing/msp-it-services-marketing-agency/,101,200,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,Best MSP Marketing Company,203,430,5,0,1,1,4,1,msp marketing companies,msp-it,,rest-of-site,,5,improve_4_10,5,3,rising,5,3,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,5,5,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,51,100,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,Best MSP Marketing Company,203,430,5,0,1,1,4,1,Find a marketing agency for my MSP?,msp-it,,rest-of-site,,6,improve_4_10,6,0,stable,6,0,stable,https://bigorange.marketing/msp-it-services-marketing-agency/,6,0,stable,https://bigorange.marketing/msp-it-services-marketing-agency/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,Best MSP Marketing Company,203,430,5,0,1,1,4,1,msp marketing company,msp-it,,rest-of-site,,10,improve_4_10,10,6,rising,10,6,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,17,> 4,rising,https://bigorange.marketing/top-msp-marketing-agencies/,51,100,True,google-en-us,2026-08-14
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,Best MSP Marketing Company,203,430,5,0,1,1,4,1,How do I find a marketing agency for my MSP?,msp-it,,rest-of-site,msp pillar strategy,17,opportunity_11_20,17,> 4,rising,17,> 4,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,19,> 2,rising,https://bigorange.marketing/msp-it-services-marketing-agency/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,rest-of-site,msp-it,3,3,inbound marketing msp,11,70,0,2,1,1,2,0,inbound marketing msp,msp-it,,rest-of-site,,3,protect_1_3,3,0,stable,3,0,stable,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,3,0,stable,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,rest-of-site,msp-it,3,3,inbound marketing msp,11,70,0,2,1,1,2,0,inbound marketing msps,msp-it,,rest-of-site,,4,improve_4_10,4,-2,declining,4,-2,declining,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,4,-2,declining,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,rest-of-site,msp-it,3,3,inbound marketing msp,11,70,0,2,1,1,2,0,msp inbound marketing,msp-it,,rest-of-site,,4,improve_4_10,4,-1,declining,4,-1,declining,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,4,-1,declining,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-certified-guide-cost/,rest-of-site,storybrand,3,4,StoryBrand Certified Agency,62,160,3,0,0,0,3,0,StoryBrand Certified Agency,storybrand,,rest-of-site,,4,improve_4_10,4,13,rising,4,13,rising,https://bigorange.marketing/storybrand-certified-guide-cost/,4,14,rising,https://bigorange.marketing/storybrand-certified-guide-cost/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-certified-guide-cost/,rest-of-site,storybrand,3,4,StoryBrand Certified Agency,62,160,3,0,0,0,3,0,storybrand certified guide,storybrand,,rest-of-site,,7,improve_4_10,7,7,rising,7,7,rising,https://bigorange.marketing/storybrand-certified-guide-cost/,8,4,rising,https://bigorange.marketing/storybrand-certified-guide-cost/,51,100,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-certified-guide-cost/,rest-of-site,storybrand,3,4,StoryBrand Certified Agency,62,160,3,0,0,0,3,0,Is StoryBrand Free?,storybrand,,rest-of-site,pillar strategy,8,improve_4_10,18,> 3,rising,18,> 3,rising,https://bigorange.marketing/storybrand-certified-guide-cost/,8,> 13,rising,https://bigorange.marketing/is-storybrand-free/,0,10,True,google-en-us,2026-08-14
https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,rest-of-site,storybrand,3,5,StoryBrand Website Checklist,11,70,3,0,0,0,3,0,StoryBrand Website Checklist,storybrand,,rest-of-site,,5,improve_4_10,5,2,rising,5,2,rising,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,5,1,rising,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,rest-of-site,storybrand,3,5,StoryBrand Website Checklist,11,70,3,0,0,0,3,0,storybrand checklist,storybrand,,rest-of-site,,6,improve_4_10,6,1,rising,6,1,rising,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,7,0,stable,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,rest-of-site,storybrand,3,5,StoryBrand Website Checklist,11,70,3,0,0,0,3,0,storybrand marketing checklist,storybrand,,rest-of-site,,6,improve_4_10,6,2,rising,6,2,rising,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,6,2,rising,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-brandscript-examples/,rest-of-site,storybrand,3,7,StoryBrand BrandScript,101,220,0,2,1,0,2,1,StoryBrand BrandScript,storybrand,,rest-of-site,pillar strategy,7,improve_4_10,7,0,stable,8,1,rising,https://bigorange.marketing/storybrand-brandscript-examples/,7,0,stable,https://bigorange.marketing/storybrand-brandscript-examples/,101,200,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-brandscript-examples/,rest-of-site,storybrand,3,7,StoryBrand BrandScript,101,220,0,2,1,0,2,1,storybrand company example,storybrand,,rest-of-site,,8,improve_4_10,8,-1,declining,9,-2,declining,https://bigorange.marketing/storybrand-brandscript-examples/,8,-1,declining,https://bigorange.marketing/storybrand-brandscript-examples/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/storybrand-brandscript-examples/,rest-of-site,storybrand,3,7,StoryBrand BrandScript,101,220,0,2,1,0,2,1,What is a StoryBrand BrandScript?,storybrand,,rest-of-site,pillar strategy,13,opportunity_11_20,13,-4,declining,13,-4,declining,https://bigorange.marketing/storybrand-brandscript-examples/,13,-2,declining,https://bigorange.marketing/storybrand-brandscript-examples/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-lead-generation/,rest-of-site,msp-it,2,2,StoryBrand MSP Website,11,60,1,0,1,2,0,0,StoryBrand MSP Website,msp-it,storybrand,rest-of-site,,2,protect_1_3,2,2,rising,2,2,rising,https://bigorange.marketing/msp-lead-generation/,2,2,rising,https://bigorange.marketing/msp-lead-generation/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/msp-lead-generation/,rest-of-site,msp-it,2,2,StoryBrand MSP Website,11,60,1,0,1,2,0,0,MSP storybrand websites,msp-it,storybrand,rest-of-site,,3,protect_1_3,3,0,stable,3,0,stable,https://bigorange.marketing/msp-lead-generation/,3,0,stable,https://bigorange.marketing/msp-lead-generation/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,rest-of-site,msp-it,2,2,What is Included in an MSP Marketing Plan?,11,60,2,0,0,1,1,0,What is Included in an MSP Marketing Plan?,msp-it,,rest-of-site,msp pillar strategy,2,protect_1_3,2,1,rising,2,1,rising,https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,3,0,stable,https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,rest-of-site,msp-it,2,2,What is Included in an MSP Marketing Plan?,11,60,2,0,0,1,1,0,msp marketing plan,msp-it,,rest-of-site,,9,improve_4_10,9,2,rising,10,0,stable,https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,9,2,rising,https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,11,50,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/what-is-marketing-in-the-it-industry/,rest-of-site,msp-it,2,5,it marketing,101,210,1,1,0,0,2,0,it marketing,msp-it,,rest-of-site,,5,improve_4_10,5,1,rising,5,1,rising,https://bigorange.marketing/what-is-marketing-in-the-it-industry/,5,0,stable,https://bigorange.marketing/what-is-marketing-in-the-it-industry/,101,200,False,google-en-us|google-mobile-en-us,2026-08-14
https://bigorange.marketing/what-is-marketing-in-the-it-industry/,rest-of-site,msp-it,2,5,it marketing,101,210,1,1,0,0,2,0,What is marketing in the IT industry?,msp-it,,rest-of-site,msp pillar strategy,8,improve_4_10,8,-1,declining,8,-1,declining,https://bigorange.marketing/what-is-marketing-in-the-it-industry/,8,1,rising,https://bigorange.marketing/what-is-marketing-in-the-it-industry/,0,10,False,google-en-us|google-mobile-en-us,2026-08-14
