page,clicks,impressions,ctr_pct,avg_position
https://barcrawlusa.com/e-floating-buttons/save-10/,1,10,10.0,57.3
https://barcrawlusa.com/event-type/boozy-brunch-summer-sippin-cocktail-crawl/,1,5,20.0,25.2
https://barcrawlusa.com/event-type/st-patricks-bar-crawl/,1,36,2.78,7
https://barcrawlusa.com/event/atlanta-midtown-ugly-sweater-crawl-10th-annual/,1,146,0.68,21.6
https://barcrawlusa.com/event/boozy-brunch-crawl-macon/,1,35,2.86,24.1
https://barcrawlusa.com/event/cincinnati-ugly-sweater-bar-crawl/,1,9,11.11,14.6
https://barcrawlusa.com/event/georgia-tech-notre-dame-tailgate/,1,347,0.29,9.0
https://barcrawlusa.com/event/macon-ugly-sweater-bar-crawl/,1,473,0.21,25.5
https://barcrawlusa.com/event/sarasota-ugly-sweater-bar-crawl-10th-annual/,1,563,0.18,15.4
https://barcrawlusa.com/event/st-pete-ugly-sweater-bar-crawl/,1,80,1.25,9.6
https://barcrawlusa.com/event/taco-tequila-crawl-duluth/,1,8,12.5,11.6
https://barcrawlusa.com/event/the-brunch-crawl-lawrenceville-ga-8-23-25/,1,257,0.39,16.6
https://barcrawlusa.com/event/the-crawl-that-must-not-be-named-cincinnati-bar-crawl/,1,55,1.82,12.3
https://barcrawlusa.com/event_listing_type/food-booze-and-brews-fest/,1,77,1.3,17.3
https://barcrawlusa.com/fun-things-to-do-in-lawrenceville-ga-taco-crawl-bar-crawl-usa/,1,88,1.14,10.7
https://barcrawlusa.com/hottest-rooftop-pool-party-of-the-year-did-you-get-tickets/,1,42,2.38,18
https://barcrawlusa.com/how-do-you-day-drink/,1,479,0.21,25.7
https://barcrawlusa.com/macon-ga-bar-crawl-st-patricks-day-2026/,1,47,2.13,7.1
https://barcrawlusa.com/portland-taco-festival-taco-tequila-crawl/,1,1,100,2
https://barcrawlusa.com/privacy-policy/,1,178,0.56,11.7
https://barcrawlusa.com/the-best-taco-margarita-goes-to/,1,125,0.8,17.4
https://barcrawlusa.com/upcoming-events-dev/,1,4,25.0,1.5
https://barcrawlusa.com/westside-fall-booze-bourbon/,1,7,14.29,3.1
https://barcrawlusa.com/#themes,0,852,0,4.8
https://barcrawlusa.com/1-tequila-2-tequila-3-tequila-crawl/,0,5,0,12
https://barcrawlusa.com/2020/02/14/,0,4,0,8.8
https://barcrawlusa.com/2020/04/23/,0,1,0,7
https://barcrawlusa.com/2022/01/31/,0,3,0,2
https://barcrawlusa.com/2022/10/,0,2,0,6.5
https://barcrawlusa.com/2022/10/26/,0,1,0,8
https://barcrawlusa.com/2022/12/,0,1,0,4
https://barcrawlusa.com/2022/12/07/,0,7,0,33.6
https://barcrawlusa.com/2023/01/25/,0,7,0,27
https://barcrawlusa.com/2023/03/,0,41,0,20.0
